objectid,title,creator,date,description,format,type,focus,filename,object_location,image_small,image_thumb,link
search_01,Google,Larry Page and Sergey Brin,"September 4, 1998",Ubiquitous search engine ,images,broad,,search_01.jpg,/objects/search_01.jpg,/objects/search_01.jpg,/objects/search_01.jpg,https://www.google.com/search?q=%22moscow%20idaho%22&tbm=isch&hl=en&tbs=il:cl&sa=X&ved=0CAAQ1vwEahcKEwjg7siA6LWDAxUAAAAAHQAAAAAQAg&biw=1903&bih=957
search_02,Bing,Microsoft,"May 28, 2009",Second-largest search engine worldwide,images,broad,,search_02.jpg,/objects/search_02.jpg,/objects/search_02.jpg,/objects/search_02.jpg,https://www.bing.com/images/search?q=Moscow%2C+Idaho&qs=n&form=QBIR&qft=%20filterui%3Aimagesize-large%20filterui%3AlicenseType-Any&sp=-1&lq=0&pq=moscow%2C%20idaho&sc=10-13&cvid=FB932556163A4152AEA36B3B8A4F6902&ghsh=0&ghacc=0&first=1&cw=1177&ch=921
search_03,Wikimedia Commons,Erik Möller ,"September 7, 2004","Contains over 100 million free-to-use media files, managed and editable by registered volunteers",images,broad,,search_03.jpg,/objects/search_03.jpg,/objects/search_03.jpg,/objects/search_03.jpg,https://commons.wikimedia.org/w/index.php?search=moscow+idaho&title=Special:MediaSearch&go=Go&type=image&fileres=%3E1000
search_04,Flickr,"Ludicorp, a Vancouver-based company founded by Stewart Butterfield and Caterina Fake","February 10, 2004",Long running image and video hosting service,images,broad,,search_04.jpg,/objects/search_04.jpg,/objects/search_04.jpg,/objects/search_04.jpg,https://www.flickr.com/search/?text=%22moscow%20idaho%22&license=2%2C3%2C4%2C5%2C6%2C9
search_05,Openverse,"Catherine Stihler (Creative Commons) and Matt Mullenweg (WordPress Foundation, Automattic Inc.) ",May 2021,An open-source search engine for open content developed as part of the WordPress project,images,broad,,search_05.jpg,/objects/search_05.jpg,/objects/search_05.jpg,/objects/search_05.jpg,"https://openverse.org/search/?q=moscow%20idaho&license=pdm,cc0,by,by-sa,by-nd,by-nc,by-nc-sa,by-nc-nd"
search_06,Digital Public Library of America,Berkman Center for Internet & Society,2010,"A discovery tool for public domain and openly licensed content held by the United States' archives, libraries, museums, and other cultural heritage institutions",images,consortium,,search_06.jpg,/objects/search_06.jpg,/objects/search_06.jpg,/objects/search_06.jpg,https://dp.la/search?q=moscow+idaho&type=%22image%22
search_07,Calisphere,,,"More than one million primary sources such as photographs, documents, newspapers, political cartoons, works of art, diaries, transcribed oral histories relating to the history and culture of California from over 100 libraries and institutions",images,consortium,,search_07.jpg,/objects/search_07.jpg,/objects/search_07.jpg,/objects/search_07.jpg,https://calisphere.org/search/?q=moscow%20idaho&type_ss=image
search_08,"Internet Archive, Images",Brewster Kahle,"May 10, 1996","American digital library advocating for ""a free and open Internet"" which holds more than 38 million print materials, 11.6 million pieces of audiovisual content, 2.6 million software programs, 15 million audio files, 4.7 million images, 251,000 concerts, and over 832 billion web pages",images,consortium,,search_08.jpg,/objects/search_08.jpg,/objects/search_08.jpg,/objects/search_08.jpg,https://archive.org/details/image?query=moscow+idaho
search_09,Artstor,,2003,"A nonprofit organization that builds and distributes the Digital Library, an online resource of more than 2.5 million images in the arts, architecture, humanities, and sciences",images,consortium,art;history,search_09.jpg,/objects/search_09.jpg,/objects/search_09.jpg,/objects/search_09.jpg,https://www-jstor-org.uidaho.idm.oclc.org/action/doBasicSearch?Query=idaho&scope=eyJpZCI6ICIxMDAxNDY0NjciLCAicGFnZU5hbWUiOiAiQXJ0c3RvciIsICJwYWdlVXJsIjogIi9zaXRlL2FydHN0b3IvIiwgInR5cGUiOiAicG9ydGFsIn0%3D&searchkey=1704489719487
search_10,The New York Public Library Digital Collections,,,"Over 922,495 books, videos, maps, manuscripts, illustrations and photos",images,large institution,,search_10.jpg,/objects/search_10.jpg,/objects/search_10.jpg,/objects/search_10.jpg,https://digitalcollections.nypl.org/search/index?utf8=%E2%9C%93&keywords=idaho
